iters_flat,iters_warm,t_flat_ms,t_warm_ms
3,3,18.72010005172342,18.488600035198033
3,3,18.876700079999864,18.861700082197785
4,3,19.497500034049153,18.821700010448694
3,3,18.656900036148727,18.47270003054291
3,3,18.729900009930134,18.82560004014522
4,3,19.382999977096915,18.623200012370944
3,3,18.76579993404448,18.565100035630167
4,3,19.867399940267205,18.511399975977838
3,3,18.65790004376322,18.46499997191131
3,3,20.49349993467331,18.957899999804795
3,3,18.87580007314682,18.82949995342642
3,3,18.801999976858497,18.899800023064017
3,3,18.560500000603497,11.268700007349253
3,3,18.748999922536314,18.489500042051077
3,3,19.301900058053434,16.191600007005036
3,3,18.71099998243153,18.703299923799932
3,3,18.68149999063462,18.841999932192266
3,3,14.483900042250752,19.31750006042421
3,3,19.15429998189211,18.515300005674362
3,3,18.65299989003688,16.52900001499802
3,3,15.95689996611327,18.50819995161146
3,3,18.273199908435345,18.892899970524013
3,3,18.854700028896332,19.56330006942153
3,3,18.794900039210916,18.97059998009354
4,3,19.50519997626543,18.7040000455454
3,3,19.448500010184944,18.752300064079463
3,3,18.547800020314753,18.7973000574857
3,3,18.846799968741834,18.716300022788346
3,3,18.750399933196604,18.576900009065866
4,3,20.04770003259182,18.836200004443526
3,3,18.58520007226616,18.575299996882677
3,3,18.72139994520694,18.66230007726699
3,3,18.996500060893595,18.937299959361553
4,3,19.54679994378239,18.551899935118854
3,3,18.73489993158728,18.884100019931793
3,3,11.850100010633469,20.400600042194128
4,3,19.578199950046837,18.537300056777894
3,3,18.882400006987154,14.399499981664121
